"brood_ID" "alias"
"577" "2011_E_1" "brood_577"
"578" "2011_E_10" "brood_578"
"579" "2011_E_2" "brood_579"
"580" "2011_E_3" "brood_580"
"581" "2011_E_4" "brood_581"
"582" "2011_E_5" "brood_582"
"583" "2011_E_6" "brood_583"
"584" "2011_E_7" "brood_584"
"585" "2011_E_8" "brood_585"
"586" "2011_E_9" "brood_586"
"587" "2012_B_101" "brood_587"
"588" "2012_C_101" "brood_588"
"589" "2012_C_301" "brood_589"
"590" "2012_D_1" "brood_590"
"591" "2012_D_101" "brood_591"
"592" "2012_D_102" "brood_592"
"593" "2012_D_2" "brood_593"
"594" "2012_D_3" "brood_594"
"595" "2012_D_301" "brood_595"
"596" "2012_D_4" "brood_596"
"597" "2012_D_5" "brood_597"
"598" "2012_D_6" "brood_598"
"599" "2012_E_101" "brood_599"
"600" "2012_G_1" "brood_600"
"601" "2012_G_10" "brood_601"
"602" "2012_G_11" "brood_602"
"603" "2012_G_12" "brood_603"
"604" "2012_G_2" "brood_604"
"605" "2012_G_201" "brood_605"
"606" "2012_G_202" "brood_606"
"607" "2012_G_203" "brood_607"
"608" "2012_G_204" "brood_608"
"609" "2012_G_3" "brood_609"
"610" "2012_G_301" "brood_610"
"611" "2012_G_302" "brood_611"
"612" "2012_G_303" "brood_612"
"613" "2012_G_304" "brood_613"
"614" "2012_G_305" "brood_614"
"615" "2012_G_4" "brood_615"
"616" "2012_G_5" "brood_616"
"617" "2012_G_6" "brood_617"
"618" "2012_G_7" "brood_618"
"619" "2012_G_8" "brood_619"
"620" "2012_G_9" "brood_620"
