"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"413" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2324.09653013699 27.1636703149461 4.60204127135705e-07 511.19222 165
"213" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2325.20075982204 28.2678999999998 2.64953755488952e-07 514.31841 166
"613" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2328.29181161996 31.358951797919 5.64880665426506e-08 521.4451 167
"133" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2329.55815554036 32.6252957183156 2.99898036036414e-08 520.69497 168
"1214" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2313.32078686588 0 0.693643905111582 474.5428 169
"1114" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2316.6185 3.29771313412084 0.13336665726983 479.86558 170
"914" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2317.658 4.3372131341207 0.0793090429435525 480.90504 171
"814" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2317.77872380291 4.45793693703536 0.0746634181468882 483.04812 172
"414" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2320.9287 7.60791313412074 0.015456075414124 484.17582 173
"214" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2324.21492380291 10.8941369370355 0.00298885465437413 489.48428 174
"714" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2327.87425242718 14.5534655613051 0.000479613812186374 495.16305 175
"314" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2332.89002380291 19.5692369370354 3.90598675404505e-05 498.15942 176
"1014" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2333.59265242718 20.2718655613053 2.74888707325983e-05 500.88146 177
"514" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2333.7453 20.4245131341208 2.54688830816318e-05 496.9924 178
"134" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2342.34105242718 29.0202655613052 3.46310752678085e-07 509.62986 179
"614" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2345.57578004158 32.2549931757007 6.8715355800589e-08 514.88131 180
"1215" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2261.98465237767 0 0.357102548203653 475.17021 181
"815" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2262.40238189952 0.417729521847832 0.289790494597355 479.63494 182
"915" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2264.10647355372 2.1218211760488 0.123607645805363 479.31694 183
"1115" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2264.24997355372 2.26532117604847 0.115049492158439 479.46041 184
"515" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2265.16827355372 3.18362117604875 0.0726906236015024 480.37872 185
"1015" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2266.90467166437 4.92001928670379 0.030508744488107 486.1565 186
"315" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2268.89988189952 6.91522952184778 0.011250451143351 486.13241 187
"415" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2314.34747355372 52.3628211760488 1.52177625183159e-12 529.55797 188
"215" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2317.14698189952 55.1623295218478 3.75357665245914e-13 534.37955 189
"715" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2317.53337166437 55.548719286704 3.09415323364644e-13 536.78527 190
"615" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2323.9845371134 61.9998847357315 1.2293881977914e-14 545.25296 191
